name;description;unit_price;unit;tax_name
1121340160;VELA AROMATICA E MASSAGEM LEMONGRASS 160 G - RITOS;27.64;unit;
1071550500;ACUCAR EM OLEO COPAIBA & ANDIROBA 500 G;29.67;unit;
1071030500;ACUCAR EM OLEO CUPUACU & CASTANHA DO BRASIL 500 G;29.67;unit;
1030801000;AGUA PERFUMADA PARA ROUPAS ALECRIM & CAPIM LIMAO 1000 ML;7.64;unit;
1030551100;AGUA PERFUMADA PARA ROUPAS ALECRIM 1100 ML;15.85;unit;
1030581100;AGUA PERFUMADA PARA ROUPAS AMBAR 1100 ML;15.85;unit;
1031051000;AGUA PERFUMADA PARA ROUPAS AMORA & PITANGA 1000 ML;7.64;unit;
1031071100;AGUA PERFUMADA PARA ROUPAS BAMBU 1100 ML;15.85;unit;
1030021100;AGUA PERFUMADA PARA ROUPAS CASCAS & FOLHAS 1100 ML;15.85;unit;
1030491100;AGUA PERFUMADA PARA ROUPAS FLOR DE ALGODAO 1100 ML;15.85;unit;
1031041000;AGUA PERFUMADA PARA ROUPAS LAVANDA & AMBAR 1000 ML;7.64;unit;
1030251100;AGUA PERFUMADA PARA ROUPAS MARRUA 1100 ML;15.85;unit;
1030231100;AGUA PERFUMADA PARA ROUPAS PITANGA 1100 ML;15.85;unit;
1030641100;AGUA PERFUMADA PARA ROUPAS PROVENCE 1100 ML;15.85;unit;
1081880200;"AGUA REFRESCANTE ACONCHEGO 200 ML - AGUAS NATURAIS
";22.36;unit;
1081900200;"AGUA REFRESCANTE CONCENTRACAO 200 ML - AGUAS NATURAIS
";22.36;unit;
1081890200;"AGUA REFRESCANTE ENERGIA 200 ML - AGUAS NATURAIS
";22.36;unit;
1081870200;"AGUA REFRESCANTE RELAXAMENTO 200 ML - AGUAS NATURAIS
";22.36;unit;
1081100300;AGUA REFRESCANTE VERBENA & BAMBU 300 ML;16.26;unit;
1070680055;ALCOOL EM GEL AMORA SILVESTRE 55 G - AUTOCUIDADO;2.44;unit;
1071360055;ALCOOL EM GEL CUPUACU 55 G - AUTOCUIDADO;2.44;unit;
1070110380;ALCOOL EM GEL CURUMIM;6.10;unit;
1070730055;ALCOOL EM GEL MANGA VERDE 55 G - AUTOCUIDADO;2.44;unit;
1061150002;AMOSTRA AGUA DE COLONIA APOENA 2 ML;0.00;unit;
1061880002;AMOSTRA AGUA REFRESCANTE ACONCHEGO 2 ML - AGUAS NATURAIS;0.00;unit;
1061900002;AMOSTRA AGUA REFRESCANTE CONCENTRACAO 2 ML - AGUAS NATURAIS;0.00;unit;
1061890002;AMOSTRA AGUA REFRESCANTE ENERGIA 2 ML - AGUAS NATURAIS;0.00;unit;
1061870002;AMOSTRA AGUA REFRESCANTE RELAXAMENTO 2 ML - AGUAS NATURAIS;0.00;unit;
1061100005;AMOSTRA AGUA REFRESCANTE VERBENA & BAMBU 2 ML;0.00;unit;
1060830002;AMOSTRA BANHO REFRESCANTE CHA VERDE & ERVAS 2 ML;0.00;unit;
1060760002;AMOSTRA BANHO REFRESCANTE FLOR DE CEREJEIRA 2 ML;0.00;unit;
1060010002;AMOSTRA BANHO REFRESCANTE LAVANDA 2 ML;0.00;unit;
1061810005;AMOSTRA DEO COLONIA ACUCENA 2 ML;0.00;unit;
1061570005;AMOSTRA DEO COLONIA AMAU 2 ML;0.00;unit;
1061110005;AMOSTRA DEO COLONIA BONISSIMO 2 ML;0.00;unit;
1061600005;AMOSTRA DEO COLONIA BONISSIMO BLACK 2 ML;0.00;unit;
1061500005;AMOSTRA DEO COLONIA FEMININA GIGI 2 ML;0.00;unit;
1061860002;AMOSTRA DEO COLONIA SUBLIME 2 ML;0.00;unit;
1061490002;AMOSTRA DEO PARFUM MASCULINO SELETO 2 ML;0.00;unit;
1062040002;AMOSTRA DEO PARFUM SELETO HERBO 2 ML;0.00;unit;
1061780002;AMOSTRA DEO PARFUM SELETO OCEAN 2 ML;0.00;unit;
1060009201;AVENTAL XADREZ ECO;35.77;unit;
1010009331;BALDE CINZA METAL AVATIM G;10.98;service;
1010009330;BALDE CINZA METAL AVATIM M;8.54;unit;
1010009329;BALDE CINZA METAL AVATIM P;6.91;service;
1080830300;BANHO REFRESCANTE CHA VERDE & ERVAS 300 ML - DIA DIA;15.28;unit;
1010009366;BASE DE MADEIRA ESCURA PARA FRASCO DIFUSOR;11.63;service;
1010009365;BASE DE MADEIRA NATURAL PARA FRASCO DIFUSOR;11.63;unit;
1020000120;"BASE PARA AROMATIZANTE 120 ML - RITOS
";6.91;unit;
1071110060;BONISSIMO BALM - POS BARBA 60 G;5.69;unit;
1131110140;BONISSIMO BEARD - SHAMPOO PARA BARBA 140 ML;6.91;unit;
1071110085;BONISSIMO POMADE - POMADA MODELADORA 85 G;8.54;unit;
1071110080;BONISSIMO SHAVE - CREME PARA BARBEAR 80 G;4.07;unit;
1091119301;BONISSIMO SHAVING - GEL PARA BARBEAR 100 G;4.72;unit;
1010009007;BUCHA VEGETAL REDONDA;4.39;unit;
1010009254;CAIXA PARA PRESENTE G;10.98;unit;
1010009253;CAIXA PARA PRESENTE P;9.76;unit;
2091660100;CALDA ESFOLIANTE 100 ML - BISNAGA - MEL TERAPIA;10.16;unit;
1091660100;"CALDA ESFOLIANTE 100 ML - MEL TERAPIA
";19.92;unit;
1090009093;"CHEIROS DA BAHIA - CX COM 5 SABONETES
";18.70;unit;
1010009026;COLHER DE MADEIRA;2.03;unit;
1010009010;"COLHER DE MADEIRA (PCT C/ 10)
";20.33;unit;
1131520301;CONDICIONADOR MURU MURU & PATAUA 300 ML;7.97;unit;
1131529400;"CONDICIONADOR MURU MURU & PATAUA 35 ML (CX C/ 120 UND)
";151.29;service;
1131529389;"CONDICIONADOR MURU MURU & PATAUA 400 ML (CX C/ 20 UND)
";171.95;unit;
1131100201;CONDICIONADOR VERBENA & BAMBU 200 ML;5.53;unit;
1131109360;"CONDICIONADOR VERBENA & BAMBU 35 ML (CX C/ 120 UND)
";116.97;service;
1131109397;CONDICIONADOR VERBENA & BAMBU 400 ML (CX C/ 20 UND);136.59;unit;
1010009391;CRACHA VENDEDOR;8.94;unit;
1071810200;"CREME ACETINADO HIDRATANTE CORPORAL ACUCENA 200 G
";31.30;unit;
1071500201;"CREME ACETINADO HIDRATANTE CORPORAL GIGI 200 G
";31.30;unit;
1071170200;"CREME ACETINADO HIDRATANTE CORPORAL SERENA 200 G
";31.30;unit;
1070000250;"CREME HIDRATANTE CARREADOR NEUTRO 250G - RITOS
";12.20;unit;
1141480100;"CREME HIDRATANTE QUERATOLITICO PARA OS PES 100 G - SANTO PE
";8.13;unit;
1081810100;"DEO COLONIA ACUCENA 100 ML
";38.21;unit;
1081570101;DEO COLONIA AMAU 100 ML - RELICARIO;19.11;unit;
1081150101;DEO COLONIA APOENA 100 ML - RELICARIO;19.11;unit;
1081110100;"DEO COLONIA BONISSIMO 100 ML
";28.86;unit;
1081600100;"DEO COLONIA BONISSIMO BLACK 100 ML
";28.86;unit;
1081530100;DEO COLONIA EM FLOR 100 ML - RELICARIO;19.11;unit;
1081500100;DEO COLONIA GIGI 100 ML;40.24;unit;
1082070101;DEO COLONIA OZARA 100 ML;31.71;unit;
1081860060;DEO COLONIA SUBLIME 60 ML;17.07;unit;
1082060100;DEO PARFUM IRIS 100 ML;31.71;unit;
1081490101;"DEO PARFUM SELETO 100 ML - SERIE 2
";33.74;unit;
1082040100;DEO PARFUM SELETO HERBO 100 ML;33.74;unit;
1081780100;"DEO PARFUM SELETO OCEAN 100 ML
";33.74;unit;
1081170101;DEO PARFUM SERENA 100 ML;24.07;unit;
1161600150;DESODORANTE AEROSOL ANTITRANSPIRANTE BONISSIMO BLACK 150 ML;9.76;unit;
1161490150;DESODORANTE AEROSOL ANTITRANSPIRANTE SELETO 150 ML;9.76;unit;
1161780150;"DESODORANTE AEROSOL ANTITRANSPIRANTE SELETO OCEAN 150 ML
";9.76;unit;
1141480160;DESODORANTE PARA OS PES - SANTO PE;8.86;unit;
1040009098;DIFUSOR AQUECIDO A VELA;32.11;unit;
1040800100;DIFUSOR DE ESSENCIAS ALECRIM & CAPIM LIMAO 100 ML;11.79;unit;
1041050100;DIFUSOR DE ESSENCIAS AMORA & PITANGA 100 ML;11.79;unit;
1041290100;"DIFUSOR DE ESSENCIAS AVADORE 100 ML
";33.98;unit;
1041080350;DIFUSOR DE ESSENCIAS BUQUE DE PEONIAS 350 ML;64.23;unit;
