loja;codigo;descricao;familia;subfam;unidade;iva;datacriacao;retalho;fundo;letra;vendersemstock;precovenda;codbarras;iva2
2;1010009007;BUCHA VEGETAL REDONDA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;4.39;7898464628600;23.0
2;1010009010;COLHER DE MADEIRA (PCT C/ 10);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;20.33;7899891312438;23.0
2;1010009011;ESCOVA COM PEDRA POMES 10.5 X 5.5 X 4 CM;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;9.76;7898464628662;23.0
2;1010009012;ESCOVA DE BANHO COM MASSAGEADOR 30 X 7.5 X 5 CM;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;18.46;7898464628709;23.0
2;1010009013;ESCOVAO DE MADEIRA P/ BANHO 45.5 X 6.7 X 4.0 CM;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;14.63;7898464628617;23.0
2;1010009014;MASSAGEADOR MADEIRA P 14 X 7 X 7 CM;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;7.32;7898464628648;23.0
2;1010009025;VALVULA DISPERSORA AVATIM;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;2.28;7898464620505;23.0
2;1010009026;COLHER DE MADEIRA;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;2.03;7898464629003;23.0
2;1010009253;CAIXA PARA PRESENTE P;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;9.76;7899891302323;23.0
2;1010009254;CAIXA PARA PRESENTE G;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.98;7899891302330;23.0
2;1010009272;KIT CINTA MEL TERAPIA (PCT COM 10 UNID.);1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;20.00;7899891302583;23.0
2;1010009329;BALDE CINZA METAL AVATIM P;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;6.91;7899891305515;23.0
2;1010009330;BALDE CINZA METAL AVATIM M;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.54;7899891305522;23.0
2;1010009331;BALDE CINZA METAL AVATIM G;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;10.98;7899891305539;23.0
2;1010009332;NECESSAIRE BEGE AVATIM P;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;20.89;7899891305546;23.0
2;1010009333;NECESSAIRE BEGE AVATIM G;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;22.76;7899891305553;23.0
2;1010009338;SACOLA ECO BAG AGUA - SOMOS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;19.51;7899891306055;23.0
2;1010009339;SACOLA ECO BAG TERRA - SOMOS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;19.51;7899891306062;23.0
2;1010009340;SACOLA ECO BAG AR - SOMOS;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;19.51;7899891306079;23.0
2;1010009348;NECESSAIRE SELETO OCEAN;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;21.71;7899891307755;23.0
2;1010009365;BASE DE MADEIRA NATURAL PARA FRASCO DIFUSOR;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.63;7899891306529;23.0
2;1010009366;BASE DE MADEIRA ESCURA PARA FRASCO DIFUSOR;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;11.63;7899891306536;23.0
2;1010009391;CRACHA VENDEDOR;1;1;2;23.0;2023-08-21;0;#808080;#FFFFFF;0;8.94;7899891309087;23.0
